muni_j,name_j,muni_vote,party_j,ken,kucode
占冠村,今津　ひろし,254,自由民主党,1,6
和寒町,今津　ひろし,939,自由民主党,1,6
剣淵町,今津　ひろし,657,自由民主党,1,6
下川町,今津　ひろし,1077,自由民主党,1,6
美深町,今津　ひろし,1364,自由民主党,1,6
音威子府村,今津　ひろし,175,自由民主党,1,6
中川町,今津　ひろし,549,自由民主党,1,6
幌加内町,今津　ひろし,554,自由民主党,1,6
旭川市,ささき　隆博,87575,立憲民主党,1,6
士別市,ささき　隆博,7391,立憲民主党,1,6
名寄市,ささき　隆博,7651,立憲民主党,1,6
富良野市,ささき　隆博,5709,立憲民主党,1,6
鷹栖町,ささき　隆博,2060,立憲民主党,1,6
東神楽町,ささき　隆博,3169,立憲民主党,1,6
当麻町,ささき　隆博,2003,立憲民主党,1,6
比布町,ささき　隆博,1380,立憲民主党,1,6
愛別町,ささき　隆博,923,立憲民主党,1,6
上川町,ささき　隆博,1384,立憲民主党,1,6
東川町,ささき　隆博,2553,立憲民主党,1,6
美瑛町,ささき　隆博,3273,立憲民主党,1,6
上富良野町,ささき　隆博,2153,立憲民主党,1,6
中富良野町,ささき　隆博,1360,立憲民主党,1,6
南富良野町,ささき　隆博,810,立憲民主党,1,6
占冠村,ささき　隆博,445,立憲民主党,1,6
和寒町,ささき　隆博,1369,立憲民主党,1,6
剣淵町,ささき　隆博,1365,立憲民主党,1,6
下川町,ささき　隆博,1066,立憲民主党,1,6
美深町,ささき　隆博,1388,立憲民主党,1,6
音威子府村,ささき　隆博,340,立憲民主党,1,6
中川町,ささき　隆博,524,立憲民主党,1,6
幌加内町,ささき　隆博,421,立憲民主党,1,6
釧路市,伊東　よしたか,48973,自由民主党,1,7
根室市,伊東　よしたか,7816,自由民主党,1,7
釧路町,伊東　よしたか,6118,自由民主党,1,7
厚岸町,伊東　よしたか,3670,自由民主党,1,7
浜中町,伊東　よしたか,2484,自由民主党,1,7
標茶町,伊東　よしたか,2568,自由民主党,1,7
弟子屈町,伊東　よしたか,2725,自由民主党,1,7
鶴居村,伊東　よしたか,1027,自由民主党,1,7
白糠町,伊東　よしたか,2852,自由民主党,1,7
別海町,伊東　よしたか,5617,自由民主党,1,7
中標津町,伊東　よしたか,7285,自由民主党,1,7
標津町,伊東　よしたか,2052,自由民主党,1,7
羅臼町,伊東　よしたか,2013,自由民主党,1,7
釧路市,石川　明美,27991,日本共産党,1,7
根室市,石川　明美,3567,日本共産党,1,7
釧路町,石川　明美,2892,日本共産党,1,7
厚岸町,石川　明美,1252,日本共産党,1,7
浜中町,石川　明美,814,日本共産党,1,7
標茶町,石川　明美,1575,日本共産党,1,7
弟子屈町,石川　明美,1424,日本共産党,1,7
鶴居村,石川　明美,436,日本共産党,1,7
白糠町,石川　明美,1322,日本共産党,1,7
別海町,石川　明美,2023,日本共産党,1,7
中標津町,石川　明美,3063,日本共産党,1,7
標津町,石川　明美,807,日本共産党,1,7
羅臼町,石川　明美,574,日本共産党,1,7
函館市,おおさか　誠二,76135,無所属,1,8
北斗市,おおさか　誠二,12156,無所属,1,8
松前町,おおさか　誠二,1785,無所属,1,8
福島町,おおさか　誠二,1113,無所属,1,8
知内町,おおさか　誠二,1106,無所属,1,8
木古内町,おおさか　誠二,1363,無所属,1,8
七飯町,おおさか　誠二,8822,無所属,1,8
鹿部町,おおさか　誠二,1005,無所属,1,8
森町,おおさか　誠二,4114,無所属,1,8
八雲町,おおさか　誠二,5175,無所属,1,8
長万部町,おおさか　誠二,1910,無所属,1,8
江差町,おおさか　誠二,2432,無所属,1,8
上ノ国町,おおさか　誠二,1292,無所属,1,8
厚沢部町,おおさか　誠二,1136,無所属,1,8
乙部町,おおさか　誠二,1038,無所属,1,8
奥尻町,おおさか　誠二,695,無所属,1,8
今金町,おおさか　誠二,1902,無所属,1,8
せたな町,おおさか　誠二,2592,無所属,1,8
函館市,前田　一男,55353,自由民主党,1,8
北斗市,前田　一男,10212,自由民主党,1,8
松前町,前田　一男,2878,自由民主党,1,8
福島町,前田　一男,1374,自由民主党,1,8
知内町,前田　一男,1429,自由民主党,1,8
木古内町,前田　一男,1275,自由民主党,1,8
七飯町,前田　一男,6073,自由民主党,1,8
鹿部町,前田　一男,1268,自由民主党,1,8
森町,前田　一男,4164,自由民主党,1,8
八雲町,前田　一男,4009,自由民主党,1,8
長万部町,前田　一男,1540,自由民主党,1,8
江差町,前田　一男,2161,自由民主党,1,8
上ノ国町,前田　一男,1511,自由民主党,1,8
厚沢部町,前田　一男,1308,自由民主党,1,8
乙部町,前田　一男,1380,自由民主党,1,8
奥尻町,前田　一男,1161,自由民主党,1,8
今金町,前田　一男,1415,自由民主党,1,8
せたな町,前田　一男,2732,自由民主党,1,8
室蘭市,山岡　達丸,17779,希望の党,1,9
苫小牧市,山岡　達丸,30159,希望の党,1,9
登別市,山岡　達丸,8915,希望の党,1,9
伊達市,山岡　達丸,6957,希望の党,1,9
豊浦町,山岡　達丸,696,希望の党,1,9
壮瞥町,山岡　達丸,507,希望の党,1,9
白老町,山岡　達丸,3257,希望の党,1,9
厚真町,山岡　達丸,1117,希望の党,1,9
洞爺湖町,山岡　達丸,1705,希望の党,1,9
安平町,山岡　達丸,1630,希望の党,1,9
むかわ町,山岡　達丸,1822,希望の党,1,9
日高町,山岡　達丸,2308,希望の党,1,9
平取町,山岡　達丸,1163,希望の党,1,9
新冠町,山岡　達丸,1219,希望の党,1,9
浦河町,山岡　達丸,2637,希望の党,1,9
様似町,山岡　達丸,934,希望の党,1,9
えりも町,山岡　達丸,905,希望の党,1,9
新ひだか町,山岡　達丸,4610,希望の党,1,9
室蘭市,ほりい　学,19417,自由民主党,1,9
苫小牧市,ほりい　学,35115,自由民主党,1,9
登別市,ほりい　学,12486,自由民主党,1,9
伊達市,ほりい　学,7834,自由民主党,1,9
豊浦町,ほりい　学,1178,自由民主党,1,9
壮瞥町,ほりい　学,699,自由民主党,1,9
白老町,ほりい　学,4807,自由民主党,1,9
厚真町,ほりい　学,1352,自由民主党,1,9
洞爺湖町,ほりい　学,2536,自由民主党,1,9
安平町,ほりい　学,2160,自由民主党,1,9
むかわ町,ほりい　学,2399,自由民主党,1,9
日高町,ほりい　学,3252,自由民主党,1,9
平取町,ほりい　学,1509,自由民主党,1,9
新冠町,ほりい　学,1610,自由民主党,1,9
浦河町,ほりい　学,3484,自由民主党,1,9
様似町,ほりい　学,1368,自由民主党,1,9
えりも町,ほりい　学,1621,自由民主党,1,9
新ひだか町,ほりい　学,5920,自由民主党,1,9
室蘭市,松橋　ちはる,6379,日本共産党,1,9
苫小牧市,松橋　ちはる,14106,日本共産党,1,9
登別市,松橋　ちはる,3127,日本共産党,1,9
伊達市,松橋　ちはる,2794,日本共産党,1,9
豊浦町,松橋　ちはる,346,日本共産党,1,9
壮瞥町,松橋　ちはる,177,日本共産党,1,9
白老町,松橋　ちはる,1326,日本共産党,1,9
厚真町,松橋　ちはる,303,日本共産党,1,9
洞爺湖町,松橋　ちはる,757,日本共産党,1,9
安平町,松橋　ちはる,698,日本共産党,1,9
むかわ町,松橋　ちはる,623,日本共産党,1,9
日高町,松橋　ちはる,966,日本共産党,1,9
平取町,松橋　ちはる,400,日本共産党,1,9
新冠町,松橋　ちはる,377,日本共産党,1,9
浦河町,松橋　ちはる,916,日本共産党,1,9
様似町,松橋　ちはる,269,日本共産党,1,9
えりも町,松橋　ちはる,287,日本共産党,1,9
新ひだか町,松橋　ちはる,1692,日本共産党,1,9
夕張市,いなつ　久,2608,公明党,1,10
岩見沢市,いなつ　久,19788,公明党,1,10
留萌市,いなつ　久,6428,公明党,1,10
美唄市,いなつ　久,6389,公明党,1,10
芦別市,いなつ　久,5270,公明党,1,10
赤平市,いなつ　久,3072,公明党,1,10
三笠市,いなつ　久,2441,公明党,1,10
滝川市,いなつ　久,10191,公明党,1,10
砂川市,いなつ　久,4687,公明党,1,10
歌志内市,いなつ　久,1139,公明党,1,10
深川市,いなつ　久,5267,公明党,1,10
南幌町,いなつ　久,2194,公明党,1,10
奈井江町,いなつ　久,1391,公明党,1,10
上砂川町,いなつ　久,875,公明党,1,10
由仁町,いなつ　久,1601,公明党,1,10
長沼町,いなつ　久,3402,公明党,1,10
栗山町,いなつ　久,3381,公明党,1,10
月形町,いなつ　久,1044,公明党,1,10
浦臼町,いなつ　久,535,公明党,1,10
新十津川町,いなつ　久,2060,公明党,1,10
妹背牛町,いなつ　久,1017,公明党,1,10
秩父別町,いなつ　久,831,公明党,1,10
雨竜町,いなつ　久,771,公明党,1,10
北竜町,いなつ　久,591,公明党,1,10
沼田町,いなつ　久,1058,公明党,1,10
増毛町,いなつ　久,1553,公明党,1,10
小平町,いなつ　久,1151,公明党,1,10
苫前町,いなつ　久,1096,公明党,1,10
羽幌町,いなつ　久,2274,公明党,1,10
初山別村,いなつ　久,466,公明党,1,10
遠別町,いなつ　久,1003,公明党,1,10
天塩町,いなつ　久,1221,公明党,1,10
夕張市,神谷　ひろし,2530,立憲民主党,1,10
岩見沢市,神谷　ひろし,23529,立憲民主党,1,10
留萌市,神谷　ひろし,5309,立憲民主党,1,10
美唄市,神谷　ひろし,5854,立憲民主党,1,10
芦別市,神谷　ひろし,3287,立憲民主党,1,10
赤平市,神谷　ひろし,2864,立憲民主党,1,10
三笠市,神谷　ひろし,2539,立憲民主党,1,10
滝川市,神谷　ひろし,10395,立憲民主党,1,10
砂川市,神谷　ひろし,5138,立憲民主党,1,10
歌志内市,神谷　ひろし,1042,立憲民主党,1,10
深川市,神谷　ひろし,6432,立憲民主党,1,10
南幌町,神谷　ひろし,2025,立憲民主党,1,10
奈井江町,神谷　ひろし,1878,立憲民主党,1,10
上砂川町,神谷　ひろし,959,立憲民主党,1,10
由仁町,神谷　ひろし,1735,立憲民主党,1,10
長沼町,神谷　ひろし,2733,立憲民主党,1,10
栗山町,神谷　ひろし,3411,立憲民主党,1,10
月形町,神谷　ひろし,1034,立憲民主党,1,10
浦臼町,神谷　ひろし,576,立憲民主党,1,10
新十津川町,神谷　ひろし,1928,立憲民主党,1,10
妹背牛町,神谷　ひろし,881,立憲民主党,1,10
秩父別町,神谷　ひろし,692,立憲民主党,1,10
雨竜町,神谷　ひろし,797,立憲民主党,1,10
北竜町,神谷　ひろし,707,立憲民主党,1,10
沼田町,神谷　ひろし,1083,立憲民主党,1,10
増毛町,神谷　ひろし,1208,立憲民主党,1,10
小平町,神谷　ひろし,967,立憲民主党,1,10
苫前町,神谷　ひろし,923,立憲民主党,1,10
羽幌町,神谷　ひろし,1989,立憲民主党,1,10
初山別村,神谷　ひろし,375,立憲民主党,1,10
遠別町,神谷　ひろし,677,立憲民主党,1,10
天塩町,神谷　ひろし,785,立憲民主党,1,10
帯広市,石川　かおり,43684,立憲民主党,1,11
音更町,石川　かおり,12619,立憲民主党,1,11
士幌町,石川　かおり,1742,立憲民主党,1,11
上士幌町,石川　かおり,1581,立憲民主党,1,11
鹿追町,石川　かおり,1567,立憲民主党,1,11
新得町,石川　かおり,2109,立憲民主党,1,11
清水町,石川　かおり,3005,立憲民主党,1,11
芽室町,石川　かおり,5141,立憲民主党,1,11
中札内村,石川　かおり,1307,立憲民主党,1,11
更別村,石川　かおり,973,立憲民主党,1,11
大樹町,石川　かおり,1568,立憲民主党,1,11
広尾町,石川　かおり,2032,立憲民主党,1,11
幕別町,石川　かおり,8618,立憲民主党,1,11
池田町,石川　かおり,2520,立憲民主党,1,11
豊頃町,石川　かおり,1106,立憲民主党,1,11
本別町,石川　かおり,2699,立憲民主党,1,11
足寄町,石川　かおり,3250,立憲民主党,1,11
陸別町,石川　かおり,1057,立憲民主党,1,11
浦幌町,石川　かおり,1636,立憲民主党,1,11
帯広市,中川　ゆうこ,38446,自由民主党,1,11
音更町,中川　ゆうこ,9864,自由民主党,1,11
士幌町,中川　ゆうこ,1833,自由民主党,1,11
上士幌町,中川　ゆうこ,1250,自由民主党,1,11
鹿追町,中川　ゆうこ,1764,自由民主党,1,11
新得町,中川　ゆうこ,1769,自由民主党,1,11
清水町,中川　ゆうこ,2557,自由民主党,1,11
芽室町,中川　ゆうこ,4933,自由民主党,1,11
中札内村,中川　ゆうこ,1186,自由民主党,1,11
更別村,中川　ゆうこ,1052,自由民主党,1,11
大樹町,中川　ゆうこ,1787,自由民主党,1,11
広尾町,中川　ゆうこ,1952,自由民主党,1,11
幕別町,中川　ゆうこ,6015,自由民主党,1,11
池田町,中川　ゆうこ,1618,自由民主党,1,11
豊頃町,中川　ゆうこ,1049,自由民主党,1,11
本別町,中川　ゆうこ,1788,自由民主党,1,11
足寄町,中川　ゆうこ,1246,自由民主党,1,11
陸別町,中川　ゆうこ,561,自由民主党,1,11
浦幌町,中川　ゆうこ,1426,自由民主党,1,11
北見市,武部　あらた,27405,自由民主党,1,12
網走市,武部　あらた,9295,自由民主党,1,12
稚内市,武部　あらた,10390,自由民主党,1,12
紋別市,武部　あらた,5798,自由民主党,1,12
猿払村,武部　あらた,962,自由民主党,1,12
浜頓別町,武部　あらた,1160,自由民主党,1,12
中頓別町,武部　あらた,569,自由民主党,1,12
枝幸町,武部　あらた,2763,自由民主党,1,12
豊富町,武部　あらた,1154,自由民主党,1,12
礼文町,武部　あらた,1203,自由民主党,1,12
利尻町,武部　あらた,1172,自由民主党,1,12
利尻富士町,武部　あらた,1393,自由民主党,1,12
幌延町,武部　あらた,872,自由民主党,1,12
美幌町,武部　あらた,5837,自由民主党,1,12
津別町,武部　あらた,1231,自由民主党,1,12
斜里町,武部　あらた,3106,自由民主党,1,12
清里町,武部　あらた,1244,自由民主党,1,12
小清水町,武部　あらた,1303,自由民主党,1,12
訓子府町,武部　あらた,1356,自由民主党,1,12
置戸町,武部　あらた,877,自由民主党,1,12
佐呂間町,武部　あらた,1686,自由民主党,1,12
遠軽町,武部　あらた,6172,自由民主党,1,12
湧別町,武部　あらた,3849,自由民主党,1,12
滝上町,武部　あらた,913,自由民主党,1,12
興部町,武部　あらた,1199,自由民主党,1,12
西興部村,武部　あらた,440,自由民主党,1,12
雄武町,武部　あらた,1551,自由民主党,1,12
大空町,武部　あらた,2213,自由民主党,1,12
北見市,水上　みか,19453,希望の党,1,12
網走市,水上　みか,5709,希望の党,1,12
稚内市,水上　みか,4566,希望の党,1,12
紋別市,水上　みか,3711,希望の党,1,12
猿払村,水上　みか,417,希望の党,1,12
浜頓別町,水上　みか,795,希望の党,1,12
中頓別町,水上　みか,348,希望の党,1,12
枝幸町,水上　みか,1259,希望の党,1,12
豊富町,水上　みか,872,希望の党,1,12
礼文町,水上　みか,383,希望の党,1,12
利尻町,水上　みか,296,希望の党,1,12
利尻富士町,水上　みか,332,希望の党,1,12
幌延町,水上　みか,329,希望の党,1,12
美幌町,水上　みか,3228,希望の党,1,12
津別町,水上　みか,1046,希望の党,1,12
斜里町,水上　みか,1995,希望の党,1,12
清里町,水上　みか,883,希望の党,1,12
小清水町,水上　みか,921,希望の党,1,12
訓子府町,水上　みか,1071,希望の党,1,12
置戸町,水上　みか,741,希望の党,1,12
佐呂間町,水上　みか,918,希望の党,1,12
遠軽町,水上　みか,3952,希望の党,1,12
湧別町,水上　みか,1796,希望の党,1,12
滝上町,水上　みか,697,希望の党,1,12
興部町,水上　みか,672,希望の党,1,12
西興部村,水上　みか,202,希望の党,1,12
雄武町,水上　みか,552,希望の党,1,12
大空町,水上　みか,1278,希望の党,1,12
北見市,菅原　まこと,8802,日本共産党,1,12
網走市,菅原　まこと,2775,日本共産党,1,12
稚内市,菅原　まこと,2325,日本共産党,1,12
紋別市,菅原　まこと,1360,日本共産党,1,12
猿払村,菅原　まこと,174,日本共産党,1,12
浜頓別町,菅原　まこと,277,日本共産党,1,12
中頓別町,菅原　まこと,170,日本共産党,1,12
枝幸町,菅原　まこと,516,日本共産党,1,12
豊富町,菅原　まこと,323,日本共産党,1,12
礼文町,菅原　まこと,129,日本共産党,1,12
利尻町,菅原　まこと,92,日本共産党,1,12
利尻富士町,菅原　まこと,117,日本共産党,1,12
幌延町,菅原　まこと,173,日本共産党,1,12
美幌町,菅原　まこと,1164,日本共産党,1,12
津別町,菅原　まこと,372,日本共産党,1,12
斜里町,菅原　まこと,702,日本共産党,1,12
清里町,菅原　まこと,243,日本共産党,1,12
小清水町,菅原　まこと,324,日本共産党,1,12
訓子府町,菅原　まこと,305,日本共産党,1,12
置戸町,菅原　まこと,178,日本共産党,1,12
佐呂間町,菅原　まこと,302,日本共産党,1,12
遠軽町,菅原　まこと,1301,日本共産党,1,12
湧別町,菅原　まこと,484,日本共産党,1,12
滝上町,菅原　まこと,164,日本共産党,1,12
興部町,菅原　まこと,252,日本共産党,1,12
西興部村,菅原　まこと,97,日本共産党,1,12
雄武町,菅原　まこと,290,日本共産党,1,12
大空町,菅原　まこと,419,日本共産党,1,12
青森市,つしま　淳,67173,自由民主党,2,1
むつ市,つしま　淳,16504,自由民主党,2,1
平内町,つしま　淳,3262,自由民主党,2,1
今別町,つしま　淳,850,自由民主党,2,1
蓬田村,つしま　淳,742,自由民主党,2,1
外ヶ浜町,つしま　淳,1900,自由民主党,2,1
野辺地町,つしま　淳,3605,自由民主党,2,1
横浜町,つしま　淳,1194,自由民主党,2,1
六ヶ所村,つしま　淳,3184,自由民主党,2,1
大間町,つしま　淳,1343,自由民主党,2,1
東通村,つしま　淳,2141,自由民主党,2,1
風間浦村,つしま　淳,603,自由民主党,2,1
佐井村,つしま　淳,676,自由民主党,2,1
青森市,赤平　ゆうと,15330,日本共産党,2,1
むつ市,赤平　ゆうと,2672,日本共産党,2,1
平内町,赤平　ゆうと,428,日本共産党,2,1
今別町,赤平　ゆうと,115,日本共産党,2,1
蓬田村,赤平　ゆうと,138,日本共産党,2,1
外ヶ浜町,赤平　ゆうと,306,日本共産党,2,1
野辺地町,赤平　ゆうと,573,日本共産党,2,1
横浜町,赤平　ゆうと,288,日本共産党,2,1
六ヶ所村,赤平　ゆうと,201,日本共産党,2,1
大間町,赤平　ゆうと,139,日本共産党,2,1
東通村,赤平　ゆうと,185,日本共産党,2,1
風間浦村,赤平　ゆうと,54,日本共産党,2,1
佐井村,赤平　ゆうと,68,日本共産党,2,1
青森市,ますた　世喜男,44578,希望の党,2,1
むつ市,ますた　世喜男,8371,希望の党,2,1
平内町,ますた　世喜男,1933,希望の党,2,1
今別町,ますた　世喜男,665,希望の党,2,1
蓬田村,ますた　世喜男,555,希望の党,2,1
外ヶ浜町,ますた　世喜男,1386,希望の党,2,1
野辺地町,ますた　世喜男,2379,希望の党,2,1
横浜町,ますた　世喜男,595,希望の党,2,1
六ヶ所村,ますた　世喜男,1459,希望の党,2,1
大間町,ますた　世喜男,659,希望の党,2,1
東通村,ますた　世喜男,774,希望の党,2,1
風間浦村,ますた　世喜男,423,希望の党,2,1
佐井村,ますた　世喜男,396,希望の党,2,1
八　　　戸　　　　市,工藤　たけし,28321,希望の党,2,2
十和田市,工藤　たけし,7139,希望の党,2,2
三沢市,工藤　たけし,3969,希望の党,2,2
七戸町,工藤　たけし,1863,希望の党,2,2
六戸町,工藤　たけし,1219,希望の党,2,2
東北町,工藤　たけし,1960,希望の党,2,2
おいらせ町,工藤　たけし,2967,希望の党,2,2
三戸町,工藤　たけし,1238,希望の党,2,2
五戸町,工藤　たけし,2222,希望の党,2,2
田子町,工藤　たけし,619,希望の党,2,2
南部町,工藤　たけし,2327,希望の党,2,2
階上町,工藤　たけし,1861,希望の党,2,2
新郷村,工藤　たけし,306,希望の党,2,2
八　　　戸　　　　市,奥本　なおみ,9105,日本共産党,2,2
十和田市,奥本　なおみ,2961,日本共産党,2,2
三沢市,奥本　なおみ,2346,日本共産党,2,2
七戸町,奥本　なおみ,771,日本共産党,2,2
六戸町,奥本　なおみ,464,日本共産党,2,2
東北町,奥本　なおみ,566,日本共産党,2,2
おいらせ町,奥本　なおみ,812,日本共産党,2,2
三戸町,奥本　なおみ,303,日本共産党,2,2
五戸町,奥本　なおみ,510,日本共産党,2,2
田子町,奥本　なおみ,136,日本共産党,2,2
南部町,奥本　なおみ,557,日本共産党,2,2
階上町,奥本　なおみ,408,日本共産党,2,2
新郷村,奥本　なおみ,65,日本共産党,2,2
八　　　戸　　　　市,大島　理森,62085,自由民主党,2,2
十和田市,大島　理森,16706,自由民主党,2,2
三沢市,大島　理森,12405,自由民主党,2,2
七戸町,大島　理森,4622,自由民主党,2,2
六戸町,大島　理森,3037,自由民主党,2,2
東北町,大島　理森,5246,自由民主党,2,2
おいらせ町,大島　理森,7457,自由民主党,2,2
三戸町,大島　理森,3552,自由民主党,2,2
五戸町,大島　理森,5483,自由民主党,2,2
田子町,大島　理森,2186,自由民主党,2,2
南部町,大島　理森,5913,自由民主党,2,2
階上町,大島　理森,3765,自由民主党,2,2
新郷村,大島　理森,1088,自由民主党,2,2
弘前市,三国　ゆうき,1859,幸福実現党,2,3
黒石市,三国　ゆうき,262,幸福実現党,2,3
